symbol,name,sector,exchange
WM,Waste Management Inc Common,Industrials,NYSE
WMB,Williams Companies Inc Common,Energy,NYSE
WMT,Walmart Inc Common,Consumer Staples,Nasdaq
WRB,W. R. Berkley Corp Common,Financials,NYSE
WSM,Williams-Sonoma Inc Common,Consumer Discretionary,NYSE
WST,West Pharmaceutical Services Inc Common,Health Care,NYSE
WTW,Willis Towers Watson Public Ltd Co Common,Financials,Nasdaq
WY,Weyerhaeuser Co Common,Real Estate,NYSE
WYNN,Wynn Resorts Ltd Common,Consumer Discretionary,Nasdaq
XEL,Xcel Energy Inc Common,Utilities,Nasdaq
